timestep,reward
93,0.481
242941,0.287
440151,0.523
632576,0.5315
834750,0.6325
1041360,0.598
1266812,0.65
1496289,0.6265
1733516,0.602
1985922,0.7195
2225894,0.6735
2466904,0.738
2715796,0.718
2975799,0.728
3217263,0.751
3453214,0.762
3701772,0.749
3925413,0.834
4134722,0.8075
4348605,0.8445
4534267,0.838
4740478,0.7785
4951275,0.8295
5130527,0.794
5316033,0.7125
5511963,0.742
5699650,0.781
5885323,0.816
6078816,0.7705
6269021,0.792
6465448,0.7975
6646493,0.8175
6830232,0.796
7014215,0.8
7201442,0.8205
7382979,0.8195
7576179,0.805
7761722,0.8255
7954049,0.855
8170411,0.822
8351331,0.826
8535304,0.857
8711200,0.797
8904980,0.8285
9078107,0.846
9267743,0.8605
9436370,0.8425
9621665,0.8095
9807584,0.821
9985178,0.8385
