timestep,reward
65,0.119
181182,0.2885
380490,0.4475
585464,0.5365
791625,0.5385
1004354,0.418
1223637,0.552
1455273,0.6155
1690959,0.6555
1934625,0.645
2186371,0.651
2431211,0.667
2682114,0.727
2919078,0.7195
3164808,0.6815
3408212,0.746
3639683,0.753
3858521,0.766
4080752,0.736
4307212,0.762
4508587,0.721
4731105,0.746
4928793,0.7455
5136878,0.7635
5343360,0.7305
5567435,0.7285
5778217,0.727
5981652,0.7675
6168656,0.728
6369596,0.765
6566777,0.69
6774619,0.8055
6957684,0.764
7152092,0.756
7352804,0.7875
7540318,0.7805
7732314,0.788
7912212,0.768
8096192,0.808
8271372,0.7785
8464033,0.777
8655602,0.8555
8825258,0.814
9022309,0.8775
9191834,0.8225
9384228,0.838
9569317,0.815
9751242,0.824
9928515,0.7245
10139914,0.8415
10316357,0.8265
10496759,0.8905
10665380,0.873
10835198,0.8535
11013823,0.859
11188631,0.858
11366577,0.8665
11535323,0.846
11715641,0.799
11909657,0.8535
12083891,0.83
12262069,0.8495
12438499,0.868
12610320,0.865
12795572,0.7975
12988414,0.7665
13202854,0.8605
13391527,0.8295
13573856,0.8815
13743918,0.8315
13916570,0.8515
14088840,0.7845
14279993,0.759
14492191,0.7985
14690682,0.896
14853835,0.867
15026567,0.818
15223652,0.8405
15415582,0.8685
15599201,0.8465
15780982,0.859
15960488,0.8535
16147773,0.867
16331243,0.867
16507600,0.831
16698545,0.8685
16873576,0.7655
17095297,0.868
17271299,0.8325
17446060,0.808
17647922,0.881
17821907,0.824
18002947,0.8215
18190874,0.856
18371169,0.8645
18555968,0.839
18738420,0.833
18929168,0.849
19105697,0.853
19286674,0.897
