timestep,reward
69,0.012
124459,0.1045
252490,0.177
381299,0.2005
512051,0.2775
643706,0.2535
774082,0.238
905014,0.2575
1035117,0.2655
1165601,0.285
1296380,0.297
1425813,0.268
1555687,0.2365
1686972,0.269
1816502,0.261
1946887,0.2755
2078110,0.239
2208754,0.281
2338723,0.288
2469241,0.272
2600658,0.3045
2729973,0.262
2860949,0.2635
2990076,0.237
3120154,0.3045
3248509,0.236
3380005,0.243
3510218,0.2505
3641466,0.273
3772138,0.299
3901641,0.273
4032190,0.2815
4162368,0.2565
4292446,0.2465
4422697,0.232
4552828,0.2425
4683893,0.2735
4813199,0.2535
4943117,0.2525
5073692,0.2575
5203201,0.22
5333842,0.2165
5464374,0.296
5593676,0.285
5722884,0.241
5853126,0.2215
5984271,0.2
6114889,0.278
6244004,0.242
6373976,0.2965
6503598,0.342
6631969,0.304
6760139,0.335
6887635,0.21
7018170,0.268
7148083,0.2475
7277618,0.2545
7408139,0.2215
7539815,0.2515
7670181,0.2175
7800309,0.3615
7927445,0.317
8056617,0.3295
8185311,0.2805
8315757,0.2095
8446989,0.2305
8578574,0.1875
8710244,0.2075
8841315,0.2645
8971630,0.254
9102074,0.2555
9231442,0.261
9361409,0.267
9491383,0.2555
9621362,0.198
9752232,0.2885
9881802,0.3035
10011583,0.295
10141381,0.2285
10271990,0.201
10403565,0.2615
10533824,0.308
10662801,0.231
10794425,0.2825
10923726,0.3305
11052395,0.214
11183169,0.2515
11312336,0.305
11440725,0.288
11570642,0.219
11700393,0.254
11831644,0.243
11962191,0.2895
12091719,0.292
12221048,0.275
12350979,0.3405
12479587,0.2635
12609865,0.2485
12740843,0.2025
12871623,0.249
