timestep,reward
69,-0.976
124340,-0.675
254528,-0.544
385104,-0.499
516018,-0.478
647845,-0.474
778355,-0.481
908803,-0.52
1039232,-0.443
1169852,-0.484
1300466,-0.496
1430970,-0.509
1561528,-0.485
1692479,-0.407
1821589,-0.487
1951830,-0.432
2083221,-0.522
2213563,-0.546
2344220,-0.494
2475432,-0.491
2606408,-0.472
2736466,-0.507
2866978,-0.451
2996364,-0.49
3126360,-0.475
3255694,-0.524
3386531,-0.455
3516856,-0.418
3647138,-0.478
3777324,-0.4
3906411,-0.402
4036380,-0.463
4166356,-0.552
4297136,-0.475
4427912,-0.428
4557319,-0.448
4687016,-0.411
4815676,-0.516
4945941,-0.454
5075590,-0.436
5204946,-0.442
5334798,-0.392
5463815,-0.351
5592141,-0.414
5721371,-0.421
5850219,-0.42
5979992,-0.394
6108556,-0.492
6238692,-0.53
6369049,-0.47
6498584,-0.348
6626561,-0.502
6755858,-0.49
6886209,-0.445
7016276,-0.404
7145188,-0.439
7272918,-0.438
7403137,-0.371
7532194,-0.398
7660853,-0.488
7790973,-0.536
7920516,-0.383
8049528,-0.516
8180050,-0.539
8310390,-0.509
8439717,-0.374
8569210,-0.444
8698455,-0.436
8828403,-0.395
8958021,-0.452
9088852,-0.391
9217569,-0.418
9348086,-0.458
9477617,-0.406
9607123,-0.437
9736842,-0.44
9865547,-0.482
9993902,-0.402
10122970,-0.468
10252480,-0.4
10381713,-0.491
10511821,-0.445
10640520,-0.394
10769273,-0.421
10898648,-0.517
11028697,-0.427
11158481,-0.536
11290336,-0.46
11420665,-0.361
11549965,-0.409
11679076,-0.337
11807421,-0.352
11936736,-0.434
12066615,-0.356
12194395,-0.4
12323634,-0.418
12453438,-0.401
12583032,-0.408
12711489,-0.405
12840971,-0.518
