timestep,reward
55,0.399
65939,0.441
131875,0.448
197423,0.415
263352,0.443
329598,0.454
394666,0.435
459778,0.449
525603,0.455
591493,0.455
657462,0.415
723148,0.438
788051,0.433
853971,0.425
920247,0.423
986629,0.415
1052533,0.427
1118797,0.406
1185615,0.429
1251473,0.422
1317667,0.442
1383943,0.427
1449932,0.443
1515835,0.423
1582041,0.423
1648112,0.445
1713524,0.449
1779020,0.429
1844585,0.452
1910190,0.424
1976467,0.436
2042344,0.387
2107882,0.413
2173225,0.435
2238700,0.42
2304890,0.435
2370144,0.421
2435786,0.432
2501028,0.453
2566920,0.432
2632467,0.405
2698687,0.452
2764496,0.419
2830666,0.441
2896198,0.478
2961539,0.45
3026847,0.472
3091562,0.434
3157147,0.416
3222834,0.445
3288629,0.438
3354436,0.383
3420918,0.424
3485860,0.42
3551556,0.451
3617065,0.418
3681634,0.437
3746990,0.444
3812516,0.43
3877819,0.409
3942948,0.427
4008745,0.421
4074002,0.453
4139458,0.388
4205833,0.45
4270733,0.408
4336105,0.445
4401657,0.429
4467367,0.413
4533325,0.428
4599182,0.392
4664890,0.436
4730821,0.441
4796484,0.42
4861652,0.424
4926922,0.458
4992578,0.465
5057977,0.487
5123621,0.401
5189898,0.42
5255781,0.44
5321995,0.4
5387916,0.432
5453371,0.423
5519638,0.464
5585447,0.417
5650978,0.464
5716236,0.427
5781502,0.455
5846575,0.438
5912155,0.404
5978183,0.464
6043718,0.437
6109111,0.399
6175077,0.417
6240876,0.407
6307513,0.407
6373370,0.399
6439493,0.392
6505202,0.452
