timestep,reward
55,0.423
65309,0.438
131144,0.432
196703,0.459
262165,0.423
327580,0.429
393425,0.456
459721,0.423
525288,0.441
590511,0.44
657149,0.444
722567,0.433
788193,0.422
853945,0.413
920684,0.484
986303,0.419
1052194,0.431
1118772,0.42
1184667,0.434
1250513,0.43
1316361,0.423
1382597,0.445
1448010,0.421
1513564,0.456
1579534,0.424
1645316,0.443
1710778,0.431
1777085,0.417
1842710,0.434
1908185,0.455
1974557,0.436
2040540,0.4
2106975,0.443
2173305,0.455
2238974,0.451
2305447,0.425
2371581,0.423
2438176,0.407
2504039,0.43
2569826,0.473
2635336,0.425
2700792,0.432
2766826,0.399
2833145,0.452
2899256,0.41
2965323,0.429
3030679,0.395
3096527,0.412
3162806,0.421
3228147,0.433
