timestep,reward
56,0.003
126471,0.037
255929,0.081
388776,0.1065
522913,0.1115
659735,0.124
796716,0.109
934646,0.1295
1072894,0.111
1209442,0.1385
1344482,0.123
1481363,0.1325
1617063,0.145
1752644,0.141
1889017,0.1385
2025916,0.1605
2162348,0.143
2298422,0.1365
2434569,0.093
2573251,0.145
2710556,0.133
2847863,0.104
2985568,0.1275
3123911,0.1105
3261045,0.102
3398506,0.1285
3535640,0.1345
3674399,0.128
3812756,0.164
3948915,0.112
4087438,0.144
4222750,0.117
4360250,0.136
4496877,0.082
4634823,0.0995
4771325,0.0535
4911362,0.1095
5048441,0.16
5183376,0.078
5319494,0.126
5454536,0.113
5591347,0.144
5726664,0.1225
5862128,0.083
6000379,0.1195
6136782,0.1265
6272513,0.0805
6408678,0.0605
6544913,0.1165
6679019,0.0995
6816424,0.05
6953908,0.053
7090400,0.0585
7227496,0.086
7363680,0.1275
7498846,0.0865
7633868,0.0785
7770416,0.1385
7906274,0.082
8043780,0.1105
8179806,0.1075
8314134,0.066
8449415,0.122
8584125,0.137
8719169,0.115
8854535,0.0935
8992267,0.1305
9127659,0.0655
9263326,0.115
9399075,0.125
9533582,0.056
9668667,0.1575
9801139,0.154
9936262,0.14
10069928,0.1095
10205444,0.0825
10341981,0.09
10478540,0.107
10613838,0.1335
10748271,0.1235
10881199,0.0785
11016621,0.1035
11151494,0.1245
11286769,0.0825
11421958,0.155
11555724,0.1115
11691323,0.078
11827145,0.1695
11961722,0.1395
12096480,0.088
12233293,0.0555
12370962,0.1675
12504583,0.1045
12640875,0.111
12776589,0.1215
12909888,0.162
13044467,0.124
13180686,0.0655
13318150,0.069
13454221,0.0695
