timestep,reward
53,0.196
67768,0.11
135048,0.189
203504,0.177
273030,0.202
342408,0.229
410788,0.23
480081,0.18
550012,0.232
620094,0.211
689614,0.208
760490,0.203
831295,0.232
901921,0.202
972000,0.242
1042257,0.22
1112567,0.227
1183230,0.208
1252131,0.208
1322549,0.183
1393154,0.213
1464564,0.23
1534738,0.196
1604317,0.197
1674414,0.213
1744090,0.246
1813226,0.23
1883164,0.218
1952871,0.208
2022927,0.198
2092863,0.2
2163096,0.222
2234003,0.212
2304114,0.231
2373798,0.24
2442697,0.148
2513208,0.182
2583046,0.18
2653175,0.224
2722976,0.187
2793470,0.204
2862564,0.173
2932844,0.197
3002402,0.2
3072272,0.199
3141716,0.127
3213568,0.206
3282490,0.225
3351394,0.123
3422172,0.211
