timestep,reward
65,0.096
65947,0.15
133379,0.197
201304,0.195
269060,0.235
337604,0.228
405968,0.263
474999,0.267
543181,0.259
611798,0.232
679741,0.257
748612,0.294
817256,0.259
886258,0.211
955099,0.241
1023716,0.257
1092864,0.268
1161659,0.239
1230214,0.259
1298979,0.253
1367642,0.268
1437221,0.271
1505557,0.233
1574181,0.252
1642630,0.304
1711430,0.273
1779806,0.285
1848541,0.278
1917746,0.283
1986104,0.27
2054749,0.28
2122968,0.204
2191437,0.292
2260481,0.263
2328839,0.27
2397610,0.252
2466192,0.249
2534202,0.263
2602937,0.287
2671426,0.246
2740568,0.222
2809479,0.247
2877554,0.251
2946342,0.22
3015308,0.253
3083124,0.271
3151359,0.219
3219872,0.26
3288403,0.209
3357601,0.258
