timestep,reward
2,-0.1985
2141,-0.449
5441,-0.129
7914,-0.1045
10522,-0.1015
13308,-0.092
16058,-0.131
18756,-0.087
21509,-0.102
24191,-0.094
26976,-0.0645
29766,-0.04
32554,-0.093
35412,-0.0885
38325,-0.0565
41205,-0.086
44015,-0.0285
46901,-0.0655
49712,-0.0725
52614,-0.0785
55453,-0.0925
58266,-0.086
61089,-0.056
63980,-0.061
66904,-0.0815
69837,-0.1035
72818,-0.071
75715,-0.068
78558,-0.1005
81527,-0.0455
84409,-0.0695
87388,-0.0305
90375,-0.0795
93254,-0.0735
96154,-0.091
99103,-0.0875
102062,-0.065
105002,-0.077
108016,-0.068
111161,-0.0745
114178,-0.088
117112,-0.094
120092,-0.097
123097,-0.058
126121,-0.0695
129242,-0.089
132297,-0.078
135400,-0.024
138531,-0.0675
141505,-0.057
